Emergency Condition,Symptoms,First Aid Steps
"Fracture"," Intense pain at injury site, swelling, and visible deformity","Immobilize the limb with a splint, apply ice, and call emergency services."
"Fracture"," Sharp pain with inability to move the affected limb and bruising","Keep the limb still, support with padding, and seek urgent medical help."
"Fracture"," Severe pain with obvious misalignment and swelling","Avoid moving the injured part; apply a makeshift splint and call for help."
"Fracture"," Deep, throbbing pain accompanied by deformity and discoloration","Stabilize the area with a firm splint, apply ice, and contact emergency services."
"Fracture"," Intense localized pain with swelling and loss of function","Immobilize using a padded splint and seek immediate medical attention."
"Fracture"," Sharp pain with abnormal limb positioning and bruising","Support the injured limb, minimize movement, and call for emergency help."
"Fracture"," Constant pain with swelling and a visible bone protrusion","Do not try to realign the limb; immobilize and get medical help immediately."
"Fracture"," Severe pain with a cracking sensation and swelling","Stabilize with splints, apply a cold pack, and seek urgent care."
"Fracture"," Acute pain, swelling, and inability to move normally","Keep the person still, apply ice, and call emergency services right away."
"Fracture"," Dull pain with gradual swelling and misalignment","Immobilize the limb and transport carefully to a hospital."
"Fracture"," Excruciating pain with significant bruising and swelling","Splint the injured area without moving it and contact emergency help."
"Fracture"," Sharp, stabbing pain with limb deformity and swelling","Keep the limb immobilized and call emergency services immediately."
"Fracture"," Persistent pain with localized swelling and discoloration","Stabilize the injury using a rigid splint and seek urgent evaluation."
"Fracture"," Severe pain with abnormal rotation of the limb and edema","Immobilize with a splint and call for immediate medical assistance."
"Fracture"," Sudden onset pain with swelling and obvious misalignment","Do not attempt to move the limb; secure it and call for help."
"Fracture"," Constant pain with rapid swelling and bruising","Immobilize the limb with a splint and use ice packs while waiting for help."
"Fracture"," Intense pain accompanied by a popping sound and swelling","Stabilize the area, avoid any movement, and call emergency services."
"Fracture"," Sharp localized pain with deformity and increasing swelling","Apply a splint, support the injured limb, and seek urgent care."
"Fracture"," Severe pain, swelling, and tenderness around the injury","Keep the area immobile, apply cold compress, and call for emergency help."
"Fracture"," Acute pain with noticeable swelling and limb misalignment","Immobilize using a makeshift splint and transport to the hospital."
"Fracture"," Excruciating pain with rapid swelling and bruising","Stabilize the limb without moving it and seek immediate medical care."
"Fracture"," Persistent, sharp pain with obvious deformity and edema","Use a rigid splint, minimize movement, and call emergency services."
"Fracture"," Intense pain with discoloration and swelling around the break","Immobilize the injured limb and apply an ice pack while awaiting help."
"Fracture"," Dull aching pain with progressive swelling and misalignment","Keep the area supported and seek prompt medical evaluation."
"Fracture"," Severe pain with palpable instability and rapid swelling","Immobilize with a splint and call for urgent medical intervention."
"Fracture"," Sharp pain with a deformity and immediate swelling","Do not try to adjust the limb; splint it and call emergency services."
"Fracture"," Throbbing pain with visible bone displacement and bruising","Keep the limb still, apply ice, and seek urgent care."
"Fracture"," Acute pain, swelling, and abnormal angle of the limb","Immobilize using a splint and transport carefully to the hospital."
"Fracture"," Intense pain with severe swelling and a clicking sound on movement","Stabilize the injury and contact emergency services immediately."
"Fracture"," Sharp, radiating pain with local swelling and deformity","Keep the limb immobilized, apply a cold compress, and get urgent help."
"Fracture"," Continuous pain with evident swelling and misalignment","Avoid moving the limb; splint it securely and seek emergency assistance."
"Fracture"," Severe localized pain with rapid discoloration and swelling","Immobilize the injured part and call for emergency care."
"Fracture"," Intense pain with joint instability and swelling","Stabilize with a splint, apply ice, and get immediate medical help."
"Fracture"," Sharp, constant pain with bruising and abnormal limb position","Immobilize without adjusting the limb and contact emergency services."
"Fracture"," Excruciating pain with swelling and inability to move normally","Keep the area immobile, apply an ice pack, and call for urgent care."
"Fracture"," Severe pain with swelling and tenderness around the break","Support the limb with a splint and seek immediate medical attention."
"Fracture"," Sharp pain with rapid onset swelling and misalignment","Immobilize the limb immediately and arrange for emergency transport."
"Fracture"," Dull, throbbing pain with increasing swelling and bruising","Stabilize the fracture with a splint and call emergency services."
"Fracture"," Constant severe pain with visible deformity and swelling","Do not attempt to realign the limb; splint it and get medical help fast."
"Fracture"," Acute pain with rapid swelling and loss of function","Immobilize with a firm splint and seek urgent medical evaluation."
"Fracture"," Sharp pain with localized swelling and a deformed limb","Support and immobilize the limb and call for emergency services immediately."
"Fracture"," Intense pain with immediate swelling and misalignment","Apply a splint and cold compress, and then seek professional medical help."
"Fracture"," Dull aching pain with progressive swelling and abnormal limb positioning","Keep the limb still, support it, and call for emergency care."
"Fracture"," Severe pain with bruising and rapid swelling at the injury site","Immobilize using a splint, apply ice, and get urgent help."
"Fracture"," Sharp, localized pain with obvious deformity and edema","Do not move the limb; secure it with a splint and contact emergency services."
"Fracture"," Constant, burning pain with swelling and misalignment","Immobilize the fracture, apply a cold pack, and seek immediate help."
"Fracture"," Acute severe pain with swelling and unstable limb alignment","Stabilize with a rigid splint and call for emergency medical attention."
"Fracture"," Intense throbbing pain with bruising and deformity","Keep the injured limb immobile, use an ice pack, and call emergency services."
"Fracture"," Sharp, radiating pain with swelling and loss of limb function","Immobilize the area, apply cold compresses, and seek urgent care."
"Fracture"," Severe pain with extensive swelling and abnormal positioning","Stabilize the injury with a splint, avoid movement, and call emergency help."
"Asthma Attack"," Severe wheezing, shortness of breath, and chest tightness","Help the person sit upright, encourage slow deep breaths, and assist with their inhaler; call emergency services if needed."
"Asthma Attack"," Intense shortness of breath with rapid breathing and coughing","Guide the person to a comfortable seated position, use prescribed bronchodilator, and monitor closely."
"Asthma Attack"," Tightness in chest with difficulty speaking and wheezing","Have the person sit upright, use their inhaler immediately, and call for help if symptoms worsen."
"Asthma Attack"," Labored breathing with persistent wheezing and coughing fits","Help them use their rescue inhaler, keep calm, and call emergency services if condition deteriorates."
"Asthma Attack"," Severe chest tightness, rapid shallow breathing, and anxiety","Assist with inhaler use, encourage controlled breathing, and seek urgent care if not improving."
